section,item,text,ai_relevance_score,classification
9.2.1.1. Kümeler ile ilgili temel kavramları hatırlatılır.,a),Kümelerle ilgili gerçek hayattan örneklere yer verilir.,0,Low AI Relevance
9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,a),"Koşullu önermenin karşıtı, tersi, karşıt tersi verilir.",0,Low AI Relevance
9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,b),olduğu doğruluk tablosu yardımıyla gösterilir.,1,Medium AI Relevance
9.1.1.3. Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,c),"ve, veya, ya da, ise   bağlaçları kullanılarak verilen, en fazla üç önerme içeren ve en fazla dört bileşenli",0,Low AI Relevance
9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,a),Kümelerle ilgili gerçek hayattan örneklere yer verilir.,0,Low AI Relevance
9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,b),Kümelerin farklı gösterimlerine yer verilir.,1,Medium AI Relevance
9.2.1.1. Kümeler ile ilgili temel kavramlar hatırlatılır.,c),Cantor un çalışmalarına yer verilir.,0,Low AI Relevance
9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,a),Alt küme kavramı ve özellikleri ele alınır.,1,Medium AI Relevance
9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,b),Alt küme kavramıyla ilgili gerçek hayattan örneklere yer verilir.,1,Medium AI Relevance
9.2.1.2. Alt kümeyi kullanarak işlemler yapar.,c),Kombinasyon gerektiren problemlere girilmez.,1,Medium AI Relevance
9.2.1.3. İki kümenin eşitliğini kullanarak işlemler yapar.,a),İki kümenin eşitliği kavramı alt küme ile ilişkilendirilir.,3,High AI Relevance
9.2.1.3. İki kümenin eşitliğini kullanarak işlemler yapar.,b),Denk küme kavramı verilmez.,1,Medium AI Relevance
"9.2.2.1. Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.",a),"Kümelerin birleşim, kesişim, fark ve tümleme işlemlerinin özellikleri verilir.",2,Medium AI Relevance
